time,acceleration,activity
1096.521,-3.2869,walk
2450.831,-4.328,walk
898.191,-3.2192,unknown
3695.451,-2.9123,walk
1115.771,-2.9082,walk
3808.621,-2.8837,unknown
65.881,-1.5155,unknown
3711.441,-2.3073,walk
2487.401,-7.4237,walk
791.421,-2.8607,unknown
2529.221,-0.979,walk
3641.081,0.4078,trot
3480.961,-1.7577,unknown
2032.241,-2.1591,walk
2437.471,-2.4925,walk
2343.191,-4.3752,walk
3605.281,-1.1176,unknown
3256.831,0.2539,unknown
980.671,-2.6264,stand
3078.681,-4.4385,walk
1814.881,-2.7445,unknown
620.061,-1.8981,unknown
2334.511,-1.6405,walk
2163.361,-3.517,walk
1102.781,-1.8335,walk
666.181,-3.2601,unknown
2534.711,0.628,walk
3103.401,-3.1652,walk
2357.001,-0.3773,walk
920.041,-1.4374,walk
3885.901,-1.27,unknown
2402.401,-2.4615,walk
951.161,-4.9767,walk
3827.931,-1.4211,unknown
28.911,-1.4313,unknown
316.421,-1.0569,unknown
2334.241,0.6823,walk
2090.721,-1.093,walk
2666.311,-2.0509,walk
8.021,-1.3616,unknown
3189.061,-3.0466,walk
3144.861,-1.1357,walk
1.341,-0.6222,unknown
466.701,-0.4703,unknown
1320.841,-0.9072,walk
2349.941,-4.3786,walk
3286.021,-2.1647,walk
1214.861,-2.6961,walk
1892.171,-2.5296,unknown
274.031,-1.2624,unknown
724.121,-3.0367,unknown
2935.391,1.9337,unknown
2570.821,-4.6975,walk
1670.051,-3.0657,walk
1954.281,-2.7357,unknown
2428.691,-2.2908,walk
733.691,-2.9199,unknown
2925.411,-4.6282,walk
1103.341,-4.379,walk
3340.891,-3.4977,walk
3357.691,0.0284,walk
2181.041,-1.1727,walk
2461.101,-0.8834,walk
